4895.0000	1	40	75
5410.0000	2	40	24
5530.0000	3	40	50
5530.0000	4	40	74
5549.0000	5	40	41
5669.0000	6	40	43
5729.0000	7	40	33
5746.0000	8	40	25
5970.0000	9	40	46
6090.0000	10	40	67
6118.0000	11	40	14
6271.0000	12	40	44
6606.0000	13	40	35
6617.0000	14	40	37
6921.0000	15	40	48
7062.0000	16	40	30
7208.0000	17	40	62
7995.0000	18	40	31
8562.0000	19	40	17
8802.0000	20	40	63
9011.0000	21	40	59
9475.0000	22	40	66
9711.0000	23	40	38
9735.0000	24	40	71
9818.0000	25	40	65
9967.0000	26	40	47
10772.0000	27	40	45
11146.0000	28	74	8
11701.0000	29	24	21
12149.0000	30	74	68
12760.0000	31	24	60
12895.0000	32	68	51
13133.0000	33	68	26
13295.0000	34	71	27
13371.0000	35	40	32
13626.0000	36	24	23
13680.0000	37	71	73
13978.0000	38	63	49
14371.0000	39	26	22
15108.0000	40	21	0
15776.0000	41	24	69
16515.0000	42	75	42
16532.0000	43	74	12
16861.0000	44	75	19
16916.0000	45	44	28
17383.0000	46	24	36
18859.0000	47	59	5
19012.0000	48	35	56
19515.0000	49	62	64
20976.0000	50	21	20
21055.0000	51	47	11
21374.0000	52	20	6
23862.0000	53	73	10
24135.0000	54	20	13
24379.0000	55	50	70
24437.0000	56	20	53
27753.0000	57	6	34
27753.0000	58	62	54
29013.0000	59	36	15
29203.0000	60	25	16
29417.0000	61	36	4
30100.0000	62	16	55
30204.0000	63	6	7
30689.0000	64	51	3
32042.0000	65	54	1
33948.0000	66	30	18
34101.0000	67	53	58
34333.0000	68	25	61
34766.0000	69	25	2
36295.0000	70	58	39
39517.0000	71	73	9
52887.0000	72	20	29
57884.0000	73	11	72
63010.0000	74	11	52
