0	3
0	7
0	14
0	16
2	3
2	5
2	7
2	10
2	11
2	18
2	21
3	0
3	2
3	5
3	6
3	7
3	14
3	15
3	16
3	19
5	2
5	3
5	10
5	11
5	12
5	18
5	21
6	3
6	7
6	14
6	15
6	16
7	0
7	2
7	3
7	5
7	11
7	15
7	16
7	17
7	19
9	11
9	12
10	2
10	5
10	11
10	12
10	13
10	18
10	21
11	2
11	5
11	7
11	9
11	10
11	12
11	13
11	14
11	16
11	17
11	18
11	21
12	5
12	9
12	10
12	11
12	13
13	5
13	10
13	11
13	12
14	3
14	6
14	11
14	15
14	16
14	17
15	3
15	6
15	7
15	14
15	16
16	0
16	3
16	6
16	7
16	11
16	14
16	15
16	17
17	3
17	7
17	11
17	14
17	16
18	2
18	5
18	10
18	11
19	3
19	7
21	2
21	5
21	10
21	11
