18962.0000	1
19082.0000	2
19221.0000	3
19333.0000	4
19366.0000	5
20782.0000	6
22340.0000	7
22872.0000	8
22992.0000	9
23272.0000	10
23399.0000	11
23530.0000	12
23659.0000	13
23926.0000	14
24046.0000	15
24439.0000	16
24512.0000	17
24598.0000	18
25808.0000	19
26729.0000	20
27046.0000	21
27211.0000	22
27817.0000	23
27842.0000	24
27854.0000	25
27859.0000	26
27879.0000	27
27881.0000	28
27924.0000	29
27925.0000	30
27999.0000	31
28009.0000	32
28019.0000	33
28067.0000	34
28075.0000	35
28080.0000	36
28103.0000	37
28132.0000	38
28186.0000	39
28259.0000	40
28306.0000	41
28322.0000	42
28585.0000	43
28781.0000	44
28875.0000	45
29042.0000	46
29474.0000	47
29699.0000	48
29805.0000	49
30204.0000	50
30294.0000	51
30400.0000	52
30536.0000	53
30986.0000	54
31206.0000	55
31301.0000	56
34501.0000	57
34766.0000	58
36047.0000	59
36325.0000	60
36580.0000	61
38786.0000	62
43001.0000	63
43016.0000	64
47064.0000	65
47169.0000	66
48305.0000	67
48904.0000	68
55981.0000	69
64247.0000	70
97630.0000	71
